Row Labels,Count of STREET
COMMONWEALTH AVE,290
WASHINGTON ST,136
COLUMBUS AVE,92
BEACON ST,80
HARRISON AVE,79
TREMONT ST,76
MOUNT VERNON ST,74
MASSACHUSETTS AVE,73
CENTRE ST,71
MARLBOROUGH ST,69
NEWBURY ST,68
DORCHESTER AVE,56
STRATHMORE RD,47
BOYLSTON ST,47
COLUMBIA RD,44
CHESTNUT ST,42
E SIXTH ST,41
E BROADWAY,38
BRAINERD RD,37
HANCOCK ST,36
W THIRD ST,35
SOUTH ST,35
BLUE HILL AVE,33
CHARLES ST,33
HYDE PARK AVE,33
COMMERCIAL ST,32
HANOVER ST,31
CAMBRIDGE ST,31
W BROADWAY,30
CLARENDON ST,28
CHELSEA ST,28
E FOURTH ST,27
PRINCE ST,26
E SECOND ST,26
E EIGHTH ST,25
W NEWTON ST,23
W SECOND ST,23
SUMNER ST,23
SALEM ST,22
DUDLEY ST,22
PINCKNEY ST,22
D ST,22
HUNTINGTON AVE,22
E FIRST ST,21
SEAVER ST,21
BOWDOIN ST,21
E ST,21
SARATOGA ST,20
JOY ST,20
BERKELEY ST,20
ADAMS ST,20
BUNKER HILL ST,20
E THIRD ST,20
PARKER HILL AVE,19
E SEVENTH ST,19
CHISWICK RD,19
TRENTON ST,18
PLEASANT ST,18
BENNINGTON ST,17
WARREN ST,17
PAUL GORE ST,17
BORDER ST,17
GROVE ST,17
W FOURTH ST,17
MERIDIAN ST,17
QUEENSBERRY ST,16
HEMENWAY ST,16
CHARTER ST,16
ALLSTON ST,16
E FIFTH ST,16
L ST,16
RIVER ST,16
SHAWMUT AVE,15
PHILLIPS ST,15
WEBSTER ST,15
REVERE ST,15
GARDEN ST,15
K ST,15
S HUNTINGTON AVE,15
APPLETON ST,15
MAVERICK ST,15
OLD COLONY AVE,14
GAINSBOROUGH ST,14
DORCHESTER ST,14
IRVING ST,14
O ST,14
EXETER ST,14
CHANDLER ST,14
HARVARD ST,14
MAIN ST,14
ORKNEY RD,13
FULTON ST,13
BROOKS ST,13
EMERSON ST,13
GARDNER ST,13
WARREN AVE,13
LEXINGTON ST,13
SHERIDAN ST,13
CHESTNUT HILL AVE,12
ENDICOTT ST,12
SAINT BOTOLPH ST,12
INTERVALE ST,12
YAWKEY WAY,12
SAINT GERMAIN ST,12
SHEAFE ST,12
I ST,12
PRINCETON ST,12
ARLINGTON ST,12
MEDFORD ST,12
NORTH ST,12
F ST,11
BRIMMER ST,11
PETERBOROUGH ST,11
FORBES ST,11
NORTHAMPTON ST,11
DARTMOUTH ST,11
W CEDAR ST,11
P ST,11
BOSTON ST,11
RUTLAND SQ,11
BREMEN ST,11
MILFORD ST,11
BROOKLINE AVE,11
CLAYMOSS RD,11
CHESTNUT AVE,11
W CANTON ST,11
HIGH ST,11
DIX ST,10
SUTHERLAND RD,10
WHITE ST,10
MARION ST,10
EASTON ST,10
BAY STATE RD,10
KNEELAND ST,10
RUSSELL ST,10
WOOLSON ST,10
CUMMINS HWY,10
TAFT ST,10
FOREST HILLS ST,10
ORLEANS ST,10
HOMESTEAD ST,10
PARK ST,10
SAVIN HILL AVE,10
ANDERSON ST,10
SAXTON ST,10
FOSTER ST,10
G ST,10
LONSDALE ST,9
NORTON ST,9
PARKER ST,9
CONDOR ST,9
H ST,9
WOODWARD ST,9
AMERICAN LEGION HWY,9
MORTON ST,9
GLENVILLE AVE,9
NORFOLK ST,9
ENGLEWOOD AVE,9
HAVRE ST,9
LINCOLN ST,9
PARIS ST,9
STUART ST,9
BICKFORD ST,9
GENEVA AVE,9
HUTCHINGS ST,9
THOMAS PARK,8
A ST,8
ELM ST,8
MARKET ST,8
SYDNEY ST,8
HARVARD AVE,8
UNION PARK,8
ROMSEY ST,8
W EIGHTH ST,8
FLEET ST,8
WESTERN AVE,8
MINOT ST,8
DEVON ST,8
MONSIGNOR PATRICK J. LYDO,8
BRIGHTON AVE,8
HUDSON ST,8
UNION PARK ST,8
MYRTLE ST,8
BROOKLEDGE ST,8
SCHOOL ST,8
GLOUCESTER ST,8
MAPLE ST,8
EUSTON RD,8
SUDAN ST,8
NORTHERN AVE,8
CONCORD SQ,8
HULL ST,7
NORMANDY ST,7
WALTHAM ST,7
FAIRBANKS ST,7
FANEUIL ST,7
RICHMOND ST,7
DWIGHT ST,7
BATTERY ST,7
PEMBROKE ST,7
RIDGEWOOD ST,7
WESTLAND AVE,7
MOON ST,7
N HARVARD ST,7
COOPER ST,7
LAWRENCE ST,7
AMORY ST,7
BELLEVUE ST,7
MAYWOOD ST,7
PEARL ST,7
BELGRADE AVE,7
PERKINS ST,7
HEATH ST,7
B ST,7
BEACH ST,7
EVERETT ST,7
MYSTIC ST,7
SEYMOUR ST,7
FRANCIS ST,7
KELTON ST,7
N BEACON ST,6
VAN NESS ST,6
WHITTEN ST,6
OLD HARBOR ST,6
W FIFTH ST,6
FISHER AVE,6
WALK HILL ST,6
JERSEY ST,6
BRACKETT ST,6
E CONCORD ST,6
W EAGLE ST,6
E COTTAGE ST,6
BARTLETT ST,6
QUINT AVE,6
W SIXTH ST,6
LANSDOWNE ST,6
N MARGIN ST,6
ROCKVIEW ST,6
WORCESTER ST,6
RUGGLES ST,6
UPTON ST,6
BELVIDERE ST,6
MOUNT PLEASANT AVE,6
LINDEN ST,6
CUSHING AVE,6
S RUSSELL ST,6
W FIRST ST,6
BOYNTON ST,6
ADELAIDE ST,6
SAWYER AVE,6
W SELDEN ST,6
GIBSON ST,6
